beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Russian Imperial Stout,838,1263,American-Style Stout,North American Ale,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Peregrine Pale Ale,3689,847,American-Style Pale Ale,North American Ale,Mendocino Brewing - Hopland,13351 Highway 101,Hopland,California
Budweiser,3783,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Hoppy Trails India Pale Ale,3794,45,American-Style India Pale Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Rahr's Summertime Wheat,5031,1038,South German-Style Hefeweizen,German Ale,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Brewhouse Lager,5254,1090,American-Style Lager,North American Lager,Sacramento Brewing Company,2713 El Paseo Lane,Sacramento,California
Thoms Special Ale,5364,1250,American-Style Amber/Red Ale,North American Ale,The Livery,190 5th Street,Benton Harbor,Michigan
Duck-Rabbit Brown Ale,5443,469,American-Style Brown Ale,North American Ale,Duck-Rabbit Craft Brewery,4519 W. Pine Street,Farmville,North Carolina
Starfire Pale Ale,1053,527,American-Style Pale Ale,North American Ale,"Fitger's Brewhouse, Brewery and Grill",600 East Superior Street,Duluth,Minnesota
Dark Star,1463,90,Porter,Irish Ale,"BBC Brewing Co., LLC",636 East Main Street,Louisville,Kentucky
Big Bear Black Stout,1557,94,American-Style Imperial Stout,North American Ale,Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,California
I.M. Pale,713,842,American-Style Pale Ale,North American Ale,McMenamins Mill Creek,13300 Bothell-Everett Highway #304,Mill Creek,Washington
Biere de Mars,157,723,Old Ale,British Ale,Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan
Porter,291,1074,Porter,Irish Ale,Roost Brewery,200 East Campbell Avenue,Campbell,California
Copper Head Ale,4239,544,American-Style Amber/Red Ale,North American Ale,Fordham Brewing,"95 Cathedral Street, Suite 200",Annapolis,Maryland
Bube's Stout,4640,314,American-Style Stout,North American Ale,Bube's Brewery,102 North Market Street,Mount Joy,Pennsylvania
Big Mac,4816,853,American-Style Lager,North American Lager,Michigan Brewing,1093 Highview Drive,Webberville,Michigan
Yards Philadelphia Pale Ale,4971,1383,American-Style Pale Ale,North American Ale,Yards Brewing,2439 Amber Street,Philadelphia,Pennsylvania
Shouboushi Ginger Pilsner,4982,976,German-Style Pilsener,German Lager,Pennichuck Brewing Company,"127 Elm St., Unit C",Milford,New Hampshire
Three Beaches Honey Blonde Ale,5004,1301,Golden or Blonde Ale,North American Ale,Tyranena Brewing,1025 Owen Street,Lake Mills,Wisconsin
60 Shilling,5090,916,Scotch Ale,British Ale,Nodding Head Brewpub,1516 Sansom Street,Philadelphia,Pennsylvania
Imperial Chocolate Pumpkin Porter,5114,858,Pumpkin Beer,Other Style,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Mirror Mirror,5634,441,American-Style Barley Wine Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Guava Grove Ale,5727,379,French & Belgian-Style Saison,Belgian and French Ale,Cigar City Brewing,3924 West Spruce Street Suite A,Tampa,Florida
Hudson Pale Ale,5849,1399,American-Style Pale Ale,North American Ale,New Jersey Beer Company,4201 Tonnelle Avenue,North Bergen,New Jersey
Red Tail Ale,3482,847,American-Style Pale Ale,North American Ale,Mendocino Brewing - Hopland,13351 Highway 101,Hopland,California
Red,3677,332,American-Style Amber/Red Ale,North American Ale,Callahan's Pub and Brewery,8280-A Mira Mesa Boulevard,San Diego,California
Coors Extra Gold Lager,3835,399,American-Style Lager,North American Lager,Coors Brewing - Golden Brewery,311 Tenth Street,Golden,Colorado
Amber,2831,781,American-Style Amber/Red Ale,North American Ale,Legends Brewhouse & Eatery of Green Bay,2840 Shawano Avenue,Green Bay,Wisconsin
Blue,4511,1224,Fruit Beer,Other Style,Sweetwater Brewing - Atlanta,195 Ottley Drive,Atlanta,Georgia
XXX English Ale,1051,527,American-Style Pale Ale,North American Ale,"Fitger's Brewhouse, Brewery and Grill",600 East Superior Street,Duluth,Minnesota
Bottle Conditioned Porter,1358,255,Porter,Irish Ale,BridgePort Brewing,1313 NW Marshall Street,Portland,Oregon
Broad Ax Stout,1924,596,American-Style Stout,North American Ale,Granite City Food & Brewery - Saint Cloud,3945 Second Street South,Saint Cloud,Minnesota
Gold Rush Ale,3290,1278,American-Style Pale Ale,North American Ale,Traffic Jam and Snug,4268 Second Street,Detroit,Michigan
North Star Red,3983,2,American-Style Amber/Red Ale,North American Ale,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California
Thunderhead IPA,4506,1262,American-Style India Pale Ale,North American Ale,Thunder Canyon Brewery,7401 North La Cholla Boulevard,Tucson,Arizona
Harry Baals Stout,2063,808,American-Style Stout,North American Ale,Mad Anthony Brewing,2002 Broadway,Fort Wayne,Indiana
English Mild,2303,63,English-Style Pale Mild Ale,British Ale,Back Road Brewery,310 Perry Street,LaPorte,Indiana
Lager Beer,2654,381,American-Style Lager,North American Lager,"City Brewing Company, LLC",925 South Third Street,La Crosse,Wisconsin
Landmark Gold,2946,602,American-Style Pale Ale,North American Ale,Great Dane Pub and Brewing #1,123 East Doty Street,Madison,Wisconsin
Calabaza Blanca,45,723,Other Belgian-Style Ales,Belgian and French Ale,Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan
Obovoid Empirical Stout,57,160,American-Style Imperial Stout,North American Ale,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado
Ironwood Dark,257,1265,American-Style Brown Ale,North American Ale,Tied House Cafe & Brewery - San Jose,65 North San Pedro,San Jose,California
Prime Time Pale Ale,679,123,American-Style Pale Ale,North American Ale,Big Time Brewing,4133 University Way NE,Seattle,Washington
Erik the Red,4908,463,American-Style Amber/Red Ale,North American Ale,Dragonmead Microbrewery,14600 East Eleven Mile Road,Warren,Michigan
Abita Purple Haze,4995,10,Light American Wheat Ale or Lager,Other Style,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Jack's Pumpkin Spice Ale,5001,44,Pumpkin Beer,Other Style,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Marzoni's Amber Lager,5084,833,American-Style Amber/Red Ale,North American Ale,Marzoni's Brick Oven & Brewing Co,165 Patchway Road,Duncansville,Pennsylvania
Truly Honest Ale,5169,1081,American-Style Amber/Red Ale,North American Ale,Roy Pitz Brewing Company,140 North Third Street,Chambersburg,Pennsylvania
Mama's Little Yella Pils,5210,956,German-Style Pilsener,German Lager,Oskar Blues Grill and Brew,303 Main Street,Lyons,Colorado
Market Alley,5217,1211,American-Style Amber/Red Ale,North American Ale,Stoudt's Brewery,2800 North Reading Road,Adamstown,Pennsylvania
