beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Espresso Oak Aged Yeti,5190,604,American-Style Imperial Stout,North American Ale,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado
Lightner Creek Lager,5526,351,American-Style Lager,North American Lager,Carver Brewing Co.,1022 Main Ave.,Durango,Colorado
Goofy Foot Summer Wheat,5585,1182,Light American Wheat Ale or Lager,Other Style,Spring House Brewing Company,2519 Main St.,Conestoga,Pennsylvania
Farmer's Tan Imperial Pale Lager,5761,1173,American-Style Lager,North American Lager,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Weyerbacher India,5762,1352,American-Style India Pale Ale,North American Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Outta Kilter Wee-Heavy Scotch Red Ale,5783,673,Scotch Ale,British Ale,Hoppin Frog Brewery,1680-F East Waterloo Rd.,Akron,Ohio
Great Lakes Amber Ale,3110,730,American-Style Amber/Red Ale,North American Ale,Kalamazoo Brewing,355 East Kalamazoo Avenue,Kalamazoo,Michigan
Limestone Crisp-Hoppy Pale Ale (discontinued),3303,28,American-Style Pale Ale,North American Ale,Alltech's Lexington Brewing Company,401 Cross Street,Lexington,Kentucky
Heresy,3931,1352,American-Style Imperial Stout,North American Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Dunkel Doppel Weizen Bock,2265,247,South German-Style Weizenbock,German Ale,Brewery Creek Brewing,23 Commerce Street,Mineral Point,Wisconsin
Wilmington Roggen Beer,2525,719,American-Style Lager,North American Lager,John Harvard's Brew House - Framingham,1 Worcester Road,Framingham,Massachusetts
Pliny the Younger,4500,1086,Imperial or Double India Pale Ale,North American Ale,Russian River Brewing,725 Fourth Street,Santa Rosa,California
Oatmeal Stout,1754,1002,American-Style Stout,North American Ale,Pizzeria Uno Chicago Grill & Brewery,61 US Highway 1 South,Metuchen,New Jersey
Cabin Fever,4846,908,American-Style Brown Ale,North American Ale,New Holland Brewing Company,66 East Eighth Street,Holland,Michigan
Black Hawk Stout,3006,407,American-Style Stout,North American Ale,Court Avenue Brewing,309 Court Avenue,Des Moines,Iowa
Dempsey Stout,3098,868,American-Style Stout,North American Ale,Minhas Craft Brewery,1208 14th Avenue,Monroe,Wisconsin
Golden Light,3160,32,American-Style Pale Ale,North American Ale,America's Brewing,205 North Broadway,Aurora,Illinois
Ruby Mild,3200,585,English-Style Pale Mild Ale,British Ale,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Icehaus Pale Ale,3405,1387,American-Style Pale Ale,North American Ale,Yegua Creek Brewing - Dallas,2920 North Henderson Ave,Dallas,Texas
Volks Weizenbock,3791,45,South German-Style Weizenbock,German Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Bitter American,3979,2,Special Bitter or Best Bitter,British Ale,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California
Drop Top Amber Ale,4314,1361,American-Style Amber/Red Ale,North American Ale,Widmer Brothers Brewing,929 North Russell Street,Portland,Oregon
Cascade IPA,4564,35,American-Style India Pale Ale,North American Ale,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts
Oaked Arrogant Bastard Ale,4653,1204,American-Style Strong Pale Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California
Fort,4660,459,Fruit Beer,Other Style,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Auburn,2067,808,American-Style Pale Ale,North American Ale,Mad Anthony Brewing,2002 Broadway,Fort Wayne,Indiana
Pale Ale,2168,80,American-Style Pale Ale,North American Ale,Barley's Brewing #1,467 North High Street,Columbus,Ohio
Mt.Tam Pale Ale,2603,827,American-Style Pale Ale,North American Ale,Marin Brewing,1809 Larkspur Landing Circle,Larkspur Landing,California
Downtown Lites Honey Ale,2848,867,American-Style Lager,North American Lager,Milwaukee Ale House,233 North Water Street,Milwaukee,Wisconsin
Old World Oktoberfest,2852,1339,German-Style Oktoberfest,German Lager,Water Street Brewery,1101 North Water Street,Milwaukee,Wisconsin
Porter,46,901,Porter,Irish Ale,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska
Blur IPA,270,1126,American-Style India Pale Ale,North American Ale,Seabright Brewery,519 Seabright Avenue #107,Santa Cruz,California
Iron Fist Pale Ale,406,1054,American-Style Pale Ale,North American Ale,Revolution Brewing LLC,2323 N Milwaukee Ave,Chicago,Illinois
Harpoon Munich Dark,4981,634,American-Style Brown Ale,North American Ale,Harpoon Brewery - Boston,306 Northern Avenue,Boston,Massachusetts
Buffalo Butt,5026,1038,American-Style Amber/Red Ale,North American Ale,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Rahr's Winter Warmer,5033,1038,Winter Warmer,Other Style,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Judgement Day,5039,1251,Belgian-Style Quadrupel,Belgian and French Ale,The Lost Abbey,155 Mata Way Suite 104,San Marcos,California
Bell's Batch 9000,5285,100,American-Style Strong Pale Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
2xIPA,5742,1173,Imperial or Double India Pale Ale,North American Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Canadian Breakfast Stout,5755,549,American-Style Imperial Stout,North American Ale,Founders Brewing,235 Grandville Avenue SW,Grand Rapids,Michigan
Arctic Panzer Wolf,5776,1260,Imperial or Double India Pale Ale,North American Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
Conundrum Red Ale,5847,1396,American-Style Amber/Red Ale,North American Ale,Aspen Brewing Company,555 North Mill Street,Aspen,Colorado
Hop Hazard,986,1011,American-Style Pale Ale,North American Ale,Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,Lahaska,Pennsylvania
Anvil Ale,1010,700,Extra Special Bitter,British Ale,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Mermaid Red,1242,404,American-Style Amber/Red Ale,North American Ale,Coronado Brewing Company,170 Orange Avenue,Coronado,California
Northwind Imperial Stout,1335,1298,American-Style Stout,North American Ale,Two Brothers Brewing,30 Butterfield Road,Warrenville,Illinois
Moose Juice Stout,1802,593,American-Style Stout,North American Ale,Grand Teton Brewing #1,1295 North West Street,Wilson,Wyoming
Hop Garden Pale Ale,1849,716,American-Style Pale Ale,North American Ale,JJ Bitting Brewing,33 Main Street,Woodbridge,New Jersey
Nut Brown Ale,2074,1255,American-Style Brown Ale,North American Ale,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Black Bear Ale,2403,1159,American-Style Brown Ale,North American Ale,Smoky Mountain Brewing,424 South Gay Street,Knoxville,Tennessee
1888 Bock,2748,708,Traditional German-Style Bock,German Lager,Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin
Uff-Da Bock,2957,907,Traditional German-Style Bock,German Lager,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin
Red Ale,309,523,American-Style Amber/Red Ale,North American Ale,Firehouse Grill & Brewery,111 South Murphy Avenue,Sunnyvale,California
Piranha Pale Ale,316,133,American-Style Pale Ale,North American Ale,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California
Imperial Espresso Porter,3953,541,Porter,Irish Ale,Flying Fish Brewing Company,1940 Olney Avenue,Cherry Hill,New Jersey
Roughstock Ale,4195,1072,American-Style Pale Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Afterburner IPA,4631,538,American-Style India Pale Ale,North American Ale,Flyers Restraunt and Brewery,32295 State Route 20,Oak Harbor,Washington
Hoppy Hefe,4655,90,South German-Style Hefeweizen,German Ale,"BBC Brewing Co., LLC",636 East Main Street,Louisville,Kentucky
Bachelor Bitter,4710,441,Ordinary Bitter,British Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
McGovern's Oatmeal Stout,5074,97,Oatmeal Stout,British Ale,Belfast Bay Brewing Company,100 Searsport Avenue,Belfast,Maine
Hop Obama,5186,1149,American-Style Amber/Red Ale,North American Ale,Sixpoint Craft Ales,40 Van Dyke St,Brooklyn,New York
The Livery Hefe Weizen,5363,1250,South German-Style Hefeweizen,German Ale,The Livery,190 5th Street,Benton Harbor,Michigan
Black Toad Dark Ale,5562,585,Porter,Irish Ale,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Three Stooges Beer,3610,969,American-Style Lager,North American Lager,Panther Brewing Company,Utica NY 13502,Utica,New York
Spotted Cow,3770,907,American-Style Amber/Red Ale,North American Ale,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin
Tripel Ale,3850,960,Belgian-Style Tripel,Belgian and French Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Dubbel Ale,3851,960,Belgian-Style Dubbel,Belgian and French Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Lancaster Hefe Weizen,3896,771,South German-Style Hefeweizen,German Ale,Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania
Russian Imperial Stout,1004,700,American-Style Stout,North American Ale,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Mojave Gold,1077,693,American-Style Lager,North American Lager,Indian Wells Brewing,2565 North Highway 14,Inyokern,California
Tie Die Red,1430,971,American-Style Amber/Red Ale,North American Ale,Park City Brewing,375 West 910 South,Heber City,Utah
Hathor Red Lager,1856,1280,American-Style Lager,North American Lager,Trap Rock Restaurant and Brewery,279 Springfield Avenue,Berkeley Heights,New Jersey
Ugly American,5013,476,Belgian-Style Tripel,Belgian and French Ale,East End Brewing Company,6923 Susquehanna St.,Pittsburgh,Pennsylvania
Saison Rue,5473,1246,French & Belgian-Style Saison,Belgian and French Ale,The Bruery,715 Dunn Way,Placentia,California
Paddlers Pale Ale,4531,920,American-Style Pale Ale,North American Ale,North Country Brewery,141 South Main Street,Slippery Rock,Pennsylvania
Cricket Hill Hopnotic,4738,415,American-Style India Pale Ale,North American Ale,Cricket Hill,24 Kulick Road,Fairfield,New Jersey
Barnstormer Pale Ale,3056,1036,American-Style Pale Ale,North American Ale,Raccoon River Brewing,200 North Tenth Street,Des Moines,Iowa
Nitro Stout,3525,41,American-Style Stout,North American Ale,Anderson Valley Brewing,17700 Boonville Rd,Boonville,California
Wintertime Ale,3709,919,American-Style Brown Ale,North American Ale,North Coast Brewing Company,455 North Main Street,Fort Bragg,California
Arctic Rhino Coffee Porter,4091,858,Porter,Irish Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Pale Ale,4132,100,American-Style Pale Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Bud Ice Light,4384,44,American-Style Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Indiana Amber,2155,930,American-Style Amber/Red Ale,North American Ale,Oaken Barrel Brewing,50 North Airport Parkway,Greenwood,Indiana
Storm Ale,2271,1263,American-Style Brown Ale,North American Ale,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Grumpy Two,2361,617,American-Style Stout,North American Ale,Grumpy Troll Restaurant and Brewery,105 South Second Street,Mount Horeb,Wisconsin
Penitentiary Porter,2419,861,Porter,Irish Ale,Mill Creek Brewpub,11 North Palouse,Walla Walla,Washington
Hops Explosion IPA,2520,1338,American-Style India Pale Ale,North American Ale,Watch City Brewing,256 Moody Street,Waltham,Massachusetts
Rye I Oughta,2797,867,American-Style Lager,North American Lager,Milwaukee Ale House,233 North Water Street,Milwaukee,Wisconsin
Imperial India Pale Ale / I2PA,4181,1072,Imperial or Double India Pale Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Imperial Red,4206,1072,American-Style Amber/Red Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Scratch #6 2007,4649,1286,American-Style Lager,North American Lager,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Bubbly Wit,4769,456,Belgian-Style White,Belgian and French Ale,Dock Street Beer,701 S. 50th Street,West Philly,Pennsylvania
Celis Pale Bock,4814,853,Other Belgian-Style Ales,Belgian and French Ale,Michigan Brewing,1093 Highview Drive,Webberville,Michigan
Maui Coconut Porter,5383,836,Porter,Irish Ale,Maui Brewing Co.,4405 Honoapiilani Highway #217,"Lahaina, Maui",Hawaii
Cosmic Black Witbier,5675,858,Belgian-Style White,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Powell Porter,1152,814,Porter,Irish Ale,Main Street Alehouse,333 North Main Avenue,Gresham,Oregon
Dorado Double IPA,1246,68,Imperial or Double India Pale Ale,North American Ale,Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California
Hefe Weiss,1710,1181,South German-Style Hefeweizen,German Ale,Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin
Oatmeal Stout,1741,802,American-Style Stout,North American Ale,Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,New Jersey
Lazy Jake Porter,1743,802,Porter,Irish Ale,Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,New Jersey
Blackforest Lager,1854,1280,German-Style Schwarzbier,German Lager,Trap Rock Restaurant and Brewery,279 Springfield Avenue,Berkeley Heights,New Jersey
Brown Trout Brown,1908,607,American-Style Brown Ale,North American Ale,Great Waters Brewing Company,426 St.Peter Street,Saint Paul,Minnesota
Meridian Street Premium Lager,1943,930,American-Style Lager,North American Lager,Oaken Barrel Brewing,50 North Airport Parkway,Greenwood,Indiana
"1,2,3 Ale",2089,943,American-Style Amber/Red Ale,North American Ale,Olde Peninsula Brewpub and Restaurant,200 East Michigan Avenue,Kalamazoo,Michigan
IPA,2300,258,American-Style India Pale Ale,North American Ale,Broad Ripple Brewing,842 East 65th Street,Indianapolis,Indiana
Mahogany Ale,2702,247,American-Style Pale Ale,North American Ale,Brewery Creek Brewing,23 Commerce Street,Mineral Point,Wisconsin
Raspberry Ale,2940,602,Light American Wheat Ale or Lager,Other Style,Great Dane Pub and Brewing #1,123 East Doty Street,Madison,Wisconsin
Hefe Proper Ale,334,236,American-Style Lager,North American Lager,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Fresh Hop Pale Ale,420,604,American-Style Pale Ale,North American Ale,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado
Organic Amber Ale,766,526,American-Style Amber/Red Ale,North American Ale,Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,Olympia,Washington
Golden Monkey Tripel,3787,1326,Belgian-Style Tripel,Belgian and French Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Grinnin' Grizzly Spiced Ale,3806,45,American-Style Amber/Red Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Throwback Lager,3819,1326,American-Style Lager,North American Lager,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Stoudt's Gold Lager,3876,1211,American-Style Lager,North American Lager,Stoudt's Brewery,2800 North Reading Road,Adamstown,Pennsylvania
Boltwood Bock,4561,35,Traditional German-Style Bock,German Lager,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts
Roundhouse Rye,1410,1268,American-Style Lager,North American Lager,Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin
Classic Oatmeal Stout,1530,599,American-Style Stout,North American Ale,Gray Brewing,2424 West Court Street,Janesville,Wisconsin
Mephistopheles Stout,192,62,American-Style Stout,North American Ale,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado
DPA,770,1030,American-Style Pale Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Seattle",1201 First Avenue South,Seattle,Washington
Bube's Hefeweizen,4643,314,South German-Style Hefeweizen,German Ale,Bube's Brewery,102 North Market Street,Mount Joy,Pennsylvania
Green Flash Imperial India Pale Ale,4862,609,Imperial or Double India Pale Ale,North American Ale,Green Flash Brewing,1430 Vantage Court #104A,Vista,California
Blonde Lager,5024,1038,American-Style Lager,North American Lager,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Boulevard Irish Ale,5300,161,Irish-Style Red Ale,Irish Ale,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Fairweather IPA,5623,885,American-Style India Pale Ale,North American Ale,Moose's Tooth Pub and Pizzeria,3300 Old Seward Highway,Anchorage,Alaska
Maibock,3054,1036,Traditional German-Style Bock,German Lager,Raccoon River Brewing,200 North Tenth Street,Des Moines,Iowa
Kozlov Stout,3493,1256,American-Style Stout,North American Ale,ThirstyBear Brewing,661 Howard Street,San Francisco,California
Trail Blaze Organic Brown Ale,3804,45,American-Style Brown Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Old Fort Porter,2064,808,Porter,Irish Ale,Mad Anthony Brewing,2002 Broadway,Fort Wayne,Indiana
River Back Jack IPA,2700,142,American-Style India Pale Ale,North American Ale,Blue Cat Brew Pub,113 18th Street,Rock Island,Illinois
Big Horn Total Disorder Porter,2973,326,Porter,Irish Ale,C.B. & Potts of Cheyenne,1650 Dell Range Boulevard,Cheyenne,Wyoming
Firehouse Red,754,504,American-Style Amber/Red Ale,North American Ale,Engine House #9,611 North Pine,Tacoma,Washington
Wheat Beer,2160,258,American-Style Lager,North American Lager,Broad Ripple Brewing,842 East 65th Street,Indianapolis,Indiana
Ad Astra Ale,2541,556,American-Style Brown Ale,North American Ale,Free State Brewing,636 Massachusetts,Lawrence,Kansas
Potrero ESB,3982,2,Special Bitter or Best Bitter,British Ale,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California
Chamomellow,4200,1072,American-Style Pale Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Twisted Kilt Scotch Ale,4221,1255,Scotch Ale,British Ale,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Pullman Porter,5199,929,Porter,Irish Ale,Oak Creek Brewery,2050 Yavapai Dr,Sedona,Arizona
Brigantine Smoked Porter,5380,1168,Porter,Irish Ale,South County Brewing Co.,104 Mill St.,Fawn Grove,Pennsylvania
Saison De Lente,5474,1246,French & Belgian-Style Saison,Belgian and French Ale,The Bruery,715 Dunn Way,Placentia,California
Drake's Crude,4792,507,Oatmeal Stout,British Ale,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania
Harvest Ale,90,879,American-Style Pale Ale,North American Ale,Montana Brewing,113 North Broadway,Billings,Montana
IPA,784,494,American-Style India Pale Ale,North American Ale,Elliott Bay Brewery and Pub,4720 California Avenue SW,Seattle,Washington
Light,1729,421,American-Style Lager,North American Lager,Cugino Brewing Company,1501 East Wilson,Batavia,Illinois
Scotch Ale,4104,227,Scotch Ale,British Ale,Brauhaus Brew Hall,111 Main Street,Lucan,Minnesota
Edgar I.P.A.,4119,319,American-Style India Pale Ale,North American Ale,Bullfrog Brewery,231 W. Fourth Street,Williamsport,Pennsylvania
Odd Notion Spring 08,4156,812,Irish-Style Red Ale,Irish Ale,Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont
Oliver Irish Red,4504,1354,Irish-Style Red Ale,Irish Ale,Wharf Rat,206 W. Pratt St.,Baltimore,Maryland
Heather Ale,4551,35,Herb and Spice Beer,Other Style,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts
Bube's Brown Ale,4642,314,American-Style Brown Ale,North American Ale,Bube's Brewery,102 North Market Street,Mount Joy,Pennsylvania
Capital Prairie Gold,5350,338,Other Belgian-Style Ales,Belgian and French Ale,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Creme Brulee Java Stout,5611,756,American-Style Stout,North American Ale,Kuhnhenn Brewing,5919 Chicago Road,Warren,Michigan
Point Of Rocks Pale Ale,5643,1328,American-Style Pale Ale,North American Ale,Vintage 50 Restaurant and Brew Lounge,50 Catoctin Ct. NE #100,Leesburg,Virginia
Golden Delicious,5753,341,Belgian-Style Tripel,Belgian and French Ale,Captain Lawrence Brewing Company,99 Castleton Street,Pleasantville,New York
Wigged Pig Wheat,3045,142,American-Style Lager,North American Lager,Blue Cat Brew Pub,113 18th Street,Rock Island,Illinois
Redwood Amber,3285,686,American-Style Amber/Red Ale,North American Ale,Humboldt Brewing,856 10th Street,Arcata,California
Blackwood Mountain Stout,3443,1276,American-Style Stout,North American Ale,Top of the Hill Restaurant and Brewery,101 East Franklin Street,Chapel Hill,North Carolina
Saranac Winter Wassail,3463,512,Winter Warmer,Other Style,F.X. Matt Brewing,811 Edward Street,Utica,New York
Oktoberfest,2542,1104,German-Style Oktoberfest,German Lager,SandLot Brewery at Coors Field,2145 Blake Street,Denver,Colorado
Main Street Brown Ale,2857,632,American-Style Brown Ale,North American Ale,Harbor City Brewing,535 West Grand Avenue,Port Washington,Wisconsin
Jamaica Brand Red Ale,2019,810,American-Style Pale Ale,North American Ale,Mad River Brewing,195 Taylor Way,Blue Lake,California
East Bay Brown,2112,1171,American-Style Brown Ale,North American Ale,Southend Brewery and Smokehouse - Charleston,161 East Bay Street,Charleston,South Carolina
XP Pale Ale,2391,94,American-Style Pale Ale,North American Ale,Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,California
Winter Warlock Oatmeal Stout,2468,257,American-Style Stout,North American Ale,Bristol Brewing,1647 South Tejon Street,Colorado Springs,Colorado
Mojave Red,1080,693,American-Style Lager,North American Lager,Indian Wells Brewing,2565 North Highway 14,Inyokern,California
Hope & King Scotch Ale,1174,869,Scotch Ale,British Ale,Minneapolis Town Hall Brewery,1430 Washington Avenue South,Minneapolis,Minnesota
Hefe Weiss,1731,392,American-Style Lager,North American Lager,Cold Spring Brewing,219 Red River Avenue North,Cold Spring,Minnesota
Saint Peter Pale Ale,1911,607,American-Style Pale Ale,North American Ale,Great Waters Brewing Company,426 St.Peter Street,Saint Paul,Minnesota
IPA,2281,725,American-Style India Pale Ale,North American Ale,JT Whitney's Brewpub and Eatery,674 South Whitney Way,Madison,Wisconsin
Heavenly Hefe,2432,411,South German-Style Hefeweizen,German Ale,Craftsman Brewing,1260 Lincoln Avenue #100,Pasadena,California
Golden Ale,2740,552,American-Style Pale Ale,North American Ale,Fox River Brewing #1,1501 Arboretum Drive,Oshkosh,Wisconsin
Zone 7 Porter,299,1004,Porter,Irish Ale,Pleasanton Main Street Brewery,830 Main Street,Pleasanton,California
Spring Bock,750,504,Traditional German-Style Bock,German Lager,Engine House #9,611 North Pine,Tacoma,Washington
South Park Blonde,3978,2,Golden or Blonde Ale,North American Ale,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California
Santas Private Reserve,4192,1072,American-Style Amber/Red Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Pale Ale,4237,968,American-Style Pale Ale,North American Ale,Palmetto Brewing,289 Huger Street,Charleston,South Carolina
Michelob Ultra Amber,4386,44,American-Style Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Twilight Ale,4711,441,American-Style Pale Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Brown Aged Girl,4773,780,German-Style Brown Ale/Altbier,German Ale,Legacy Brewing Co.,545 Canal Street,Reading,Pennsylvania
Vienna Red Lager,4829,700,American-Style Lager,North American Lager,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Sea Dog Blue Paw Wheat,5076,1125,Fruit Beer,Other Style,Sea Dog Brewing Company,26 Front Street,Bangor,Maine
Light Rail Ale,5126,1379,Golden or Blonde Ale,North American Ale,Wynkoop Brewing,1634 18th Street,Denver,Colorado
Liberty Ale,5173,39,American-Style Pale Ale,North American Ale,Anchor Brewing,1705 Mariposa Street,San Francisco,California
Sacramento Nut Brown Ale,5255,1090,American-Style Brown Ale,North American Ale,Sacramento Brewing Company,2713 El Paseo Lane,Sacramento,California
Black Magick,5331,1330,American-Style Imperial Stout,North American Ale,"Voodoo Brewing Co.,LLC",215 1/5 Arch St.,Meadville,Pennsylvania
Santa Fe Wheat,5531,1108,Light American Wheat Ale or Lager,Other Style,Santa Fe Brewing Company,35 Fire Place,Santa Fe,New Mexico
Smuttynose Pumpkin Ale,5655,1160,Pumpkin Beer,Other Style,Smuttynose Brewing Co.,225 Heritage Ave,Portsmouth,New Hampshire
Silk Porter,5788,673,Porter,Irish Ale,Hoppin Frog Brewery,1680-F East Waterloo Rd.,Akron,Ohio
IPA Series (Zeus),5830,45,American-Style India Pale Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Blackbird Oatmeal Stout,3760,539,Oatmeal Stout,British Ale,Flying Bison Brewing,491 Ontario Street,Buffalo,New York
Black Mo Stout,3849,960,American-Style Stout,North American Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Old Krogh Oatmeal Stout,1748,754,American-Style Stout,North American Ale,Krogh's Restaurant and Brewpub,23 White Deer Plaza,Sparta,New Jersey
Honey Wheat,1778,1285,American-Style Lager,North American Lager,Triumph Brewing of Princeton,138 Nassau Street,Princeton,New Jersey
Whitetail Wheat,94,879,American-Style Lager,North American Lager,Montana Brewing,113 North Broadway,Billings,Montana
Dry Hopped IPA,781,494,American-Style India Pale Ale,North American Ale,Elliott Bay Brewery and Pub,4720 California Avenue SW,Seattle,Washington
3C Extreme,951,916,American-Style Pale Ale,North American Ale,Nodding Head Brewpub,1516 Sansom Street,Philadelphia,Pennsylvania
Pyramid Apricot Weizen,4944,1031,Fruit Beer,Other Style,Pyramid Ales Brewery,91 S Royal Brougham Way,Seattle,Washington
Turbodog,5047,10,Dark American-Belgo-Style Ale,North American Ale,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Big Nasty Porter,5232,1055,Porter,Irish Ale,Richbrau Brewing Company,1214 East Cary St,Richmond,Virginia
Hop Juice Double IPA,5269,778,Imperial or Double India Pale Ale,North American Ale,Left Coast Brewing,1245 Puerta del Sol,San Clemente,California
Otter Creek Imperial India Pale Ale,5618,959,Imperial or Double India Pale Ale,North American Ale,Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,Vermont
S.O.S,5904,10,German-Style Pilsener,German Lager,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Stout,3609,751,American-Style Stout,North American Ale,Kona Brewing,75-5629 Kuakini Highway,Kailua-Kona,Hawaii
Sundown Wheat,4651,831,Light American Wheat Ale or Lager,Other Style,Marshall Brewing Company,618 S. Wheeling Ave,Tulsa,Oklahoma
Detonator Doppelbock,2342,526,Traditional German-Style Bock,German Lager,Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,Olympia,Washington
Allgood Amber Ale,2513,317,American-Style Amber/Red Ale,North American Ale,Bull & Bush Pub & Brewery,4700 Cherry Creek Drive South,Denver,Colorado
Samuel Adams Cream Stout,4074,157,American-Style Stout,North American Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Dark Lord Russian Imperial Stout,4683,1260,American-Style Imperial Stout,North American Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
El Ni̱o IPA,1052,527,American-Style India Pale Ale,North American Ale,"Fitger's Brewhouse, Brewery and Grill",600 East Superior Street,Duluth,Minnesota
Nut Brown Ale,1059,1169,American-Style Brown Ale,North American Ale,South Shore Brewery,808 West Main Street,Ashland,Wisconsin
Dark Walnut Stout,1316,922,American-Style Stout,North American Ale,Northwoods Brewpub Grill,3560 Oakwood Mall Drive,Eau Claire,Wisconsin
Capital Brown Ale,1701,338,American-Style Brown Ale,North American Ale,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
